Section,Item,About,Price
beverages,soft drink,soft drink,$1.99 
beverages,mango juice,mango juice,$3.99 
beverages,bottle water,bottle water,$1.99 
beverages,sparkling water,sparkling water,$3.99 
beverages,mango lassi,yogurt drink flavored with mango,$3.99 
beverages,mango milkshake,milk shake flavored with mango,$3.99 
beverages,masala chai,indian tea flavored with spices and milk,$2.99 
beverages,coffee,coffee,$2.99 
beverages,hot tea,green or black,$1.99 
beverages,lassi,yogurt drink plain sweet or salty,$3.99 
vegetarian appetizers,vegetable pakora,vegetable deep fried in chickpea batter,$4.99 
vegetarian appetizers,paneer pakora,homemade cheese deep fried in chickpea batter,$6.99 
vegetarian appetizers,onion bhaji,onions and peppers deep fried in chickpea batter,$4.99 
vegetarian appetizers,papri chaat,special mix of onion potato yogurt chickpeas tamarind sauce mint sauce and fried wafers,$7.99 
vegetarian appetizers,samosa,lightly spiced turnovers stuffed with potatoes and peas veggie,$4.99 
vegetarian appetizers,aloo tikki chaat,round fried potato croquets mixed with onions chickpeas tamarind sauce mint sauce yogurt and garnished with chaat masala and fresh cilantro,$8.99 
vegetarian appetizers,assorted appetizer,combination platter of vegetable pakora paneer pakora samosa and onion bhaji,$8.99 
vegetarian appetizers,samosa chaat,light spicy turnovers stuffed with potatoes and peas mixed with yogurt onion sauce tamarind sauce mint sauce and garnished with chickpeas chaat masala and fresh cilantro,$8.99 
vegetarian appetizers,chili pakora,fresh green chilies deep fried in chickpea batter,$5.99 
vegetarian appetizers,gobi manchurian,fresh cauliflower deep fried cooked in sweet and sour sauce,$11.99 
vegetarian appetizers,chilli paneer,fresh homemade cheese flavored with ginger and garlic and cooked on sweet and sour sauce,$15.99 
vegetarian appetizers,chilli chicken,fresh chicken flavored with ginger and garlic and cooked in a sweet and sour sauce,$16.99 
non vegetarian appetizers,chicken pakora,chicken deep fried in lightly spiced chickpea batter,$6.99 
non vegetarian appetizers,house special appetizer,combination platter of vegetable pakora chicken pakora samosa onion bhaji and chicken tikka,$10.99 
non vegetarian appetizers,chicken chaat,chicken tikka mixed with onions chickpeas potato fried wafers tamarind sauce mint sauce and garnished with chaat masala and fresh cilantro,$9.99 
non vegetarian appetizers,chicken,,$15.99 
soups,chicken soup,a delicately spiced and flavorful chicken soup,$4.99 
soups,mulligatawny soup,a traditional soup with lentils chicken and curry spices,$4.99 
soups,tomato soup,lightly spiced fresh tomato soup,$4.99 
soups,lentil soup,a tasty lentil soup with spices and herbs,$4.99 
soups,vegetable soup,assorted vegetables cooked in a vegetable broth and lightly spiced,$4.99 
chicken,chicken curry,chicken in a special blend of herbs and spices,$14.99 
chicken,chicken vindaloo,chicken in a hot and spicy curry sauce,$14.99 
chicken,chicken saag,chicken in freshly chopped spinach in a rich butter sauce,$14.99 
chicken,chicken korma,chicken in a mild cream sauce with nuts and raisins,$14.99 
chicken,chicken rogan josh,chicken cooked with kashmiri spices,$14.99 
chicken,methi chicken,boneless chicken cooked in fresh fenugreek leaves and spices,$14.99 
chicken,chicken tikka masala,boneless chicken breast in a light cream sauce with tomato herbs and spices,$14.99 
chicken,chicken madras,chicken cooked with green chili peppers sauce onions and curry leaves,$14.99 
chicken,coconut chicken,boneless chicken cooked in a grated coconut sauce,$14.99 
chicken,butter chicken,boneless chicken cooked in a creamy tomato sauce,$14.99 
chicken,chicken jalfraji,boneless chicken cooked with mixed vegetables and herbs,$14.99 
chicken,egg curry,boiled egg in a special blend of herbs and spices,$13.99 
chicken,chicken do piaja,boneless chicken breast cooked with sauteed onions green peppers and spices,$14.99 
